State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Transportation ,CH4,0.125656,0.125332,0.128017,0.127022,0.123684,0.124014,0.119718,0.11612,0.10472,0.092507,0.091717,0.081139,0.081516,0.074432,0.07079,0.06553,0.063282,0.060425,0.055529,0.049168,0.050064,0.051571,0.048119,0.041793,0.041536,0.046298,0.047734,0.046283,0.043869,0.044403,0.039719
USA.AL,US,Fugitive Emissions ,CH4,16.48802935,16.23802996,15.23707011,13.62984565,15.48689849,17.48880658,15.60548304,14.07611464,14.10421431,13.79964007,13.78574783,12.55178976,10.7968841,11.03690648,10.60564751,9.47350523,9.009902041,10.34014789,13.5168526,13.2074959,12.59940855,11.28340844,10.61634056,10.33352887,9.70058158,1.918645278,1.87012381,1.835170704,1.76382147,1.696618736,1.639494326
USA.AL,US,Agriculture ,CH4,3.258185098,3.181221456,3.223749885,3.266965404,3.350142322,3.441573793,3.366564047,3.113201645,3.050063586,2.937375605,2.879178661,2.72340552,2.73098274,2.837754596,2.713054693,2.648234199,2.613785831,2.618540087,2.527297009,2.542892345,2.575514726,2.527444824,2.549221991,2.588839512,2.561859216,2.479105091,2.485111928,2.578783722,2.645591325,2.499609308,2.492250083
USA.AL,US,Land-Use Change and Forestry ,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA.AL,US,Fugitive Emissions ,All GHG,16.58151626,16.34437937,15.32446999,13.71688217,15.61506214,17.63088232,15.69542527,14.15184382,14.17517791,13.85220959,13.84689322,12.60203958,10.86113959,11.11467929,10.71755633,9.593580112,9.180075308,10.45455499,13.60356138,13.32772638,12.72517441,11.45789929,10.61634056,10.33352887,9.70058158,1.918645278,1.87012381,1.835170704,1.76382147,1.696618736,1.639494326
USA.AL,US,Transportation ,All GHG,27.65969161,27.95561579,28.93849513,29.12236072,30.56992046,32.07231186,31.51928552,31.23228849,32.21357823,32.57393055,33.6672808,31.92833335,33.43515514,32.83625153,34.73068541,34.66959218,35.24540749,35.75552482,32.77251896,31.91224165,32.09060618,32.23829972,31.76747178,31.37009215,31.19231056,32.28075846,33.88976788,33.45401687,32.76920227,33.6877485,33.57918612
USA.AL,US,Industry,All GHG,16.45887874,16.93104056,19.57416284,18.4482839,19.43952942,20.31582048,20.91736432,20.66583946,19.53220436,20.08315298,19.75795441,17.45787345,17.71151528,18.77644327,19.73988505,18.12198087,17.53674422,16.62625151,16.5101185,13.95702663,14.67169433,15.10936076,16.93852806,17.15752456,17.25605313,17.18390957,16.89223016,16.70022797,17.74478562,16.91928756,15.80280248
USA.AL,US,Residential,All GHG,3.236170675,3.162038338,3.358718703,3.544444125,3.417629101,3.429065856,3.84919098,3.416781107,3.172367844,3.386765402,3.738728294,3.59792742,3.30579689,3.144459052,3.040412591,2.765457238,2.547025597,2.418889489,2.578323132,2.559492082,2.929713808,2.410984647,1.80933186,2.256490342,2.498341997,2.154178749,1.88765745,1.756214479,2.278226213,2.07012595,1.922225931
USA.AL,US,Commercial,All GHG,2.460981578,2.024301838,2.133978293,2.077103241,2.079169789,1.986100748,2.187559675,2.439671758,1.920314918,2.208862866,2.274088671,2.183502689,2.011064869,2.122524853,2.175603802,1.858448902,2.237925327,1.999925275,2.016262131,1.907334687,2.130732217,2.066809081,1.795502946,1.846041695,1.94419878,2.146573512,2.194704264,2.092974888,2.337609085,2.214064587,2.05750583
USA.AL,US,Electricity/Heat ,All GHG,51.70122722,55.71329021,58.57351499,64.37092459,60.27283856,65.93035837,71.22740154,69.40836884,71.48071415,72.76225158,77.78806985,74.89926627,78.53917947,79.45004834,78.88827473,82.66655095,84.80663932,87.1050954,82.17184847,67.23712904,77.69734565,74.84331333,67.18115732,64.95294601,65.78150063,62.588274,55.76400605,51.16446915,54.02975087,48.60906837,42.8117997
